C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0.700718258,0.703141321,0.711279993,0.752770659,0.713713983,0.596326656,0.592935635,0.595018549,0.774974043,1,0.961973673,0.846106689
0.765526698,0.747464698,0.699723412,0.73965614,0.738145346,0.601595226,0.626368379,0.635359644,0.668879215,0.87106405,1,0.808689849
0.868570228,0.812899259,0.746517007,0.658624497,0.854484471,0.680166965,0.718053485,0.716151884,0.733060996,0.959030695,1,0.697346032
1,0.862607023,0.797375807,0.621762346,0.902616071,0.714365895,0.697792336,0.744709403,0.740862887,0.998982201,0.64333506,0.646599838
0.799149259,0.712393506,0.938770773,0.631228151,1,0.733867297,0.603081688,0.766098617,0.632732131,0.721035526,0.807983554,0.690562202
0.868713015,0.625516942,0.887959134,0.609731932,1,0.561159949,0.480482004,0.586229543,0.708365567,0.606324273,0.843458638,0.596340138
1,0.707668562,0.681886095,0.45462883,0.922128309,0.563913221,0.348989783,0.664429495,0.767272801,0.83898051,0.949327317,0.555822415
0.753570657,0.720999483,0.417307937,0.654246078,0.815595379,0.669263745,0.273274582,0.641844668,0.512258523,1,0.563378318,0.470921903
0.624672542,0.936309412,0.860089907,0.552119417,0.74166711,0.7309948,0.366651801,0.649462353,0.50197519,0.687198272,1,0.466083447
0.897459333,0.914282461,0.849670772,0.589808283,0.650124054,0.756185155,0.402271398,0.748508904,0.693843834,1,0.872984929,0.542761842
1,0.762544114,0.754098189,0.742949597,0.759159279,0.832839926,0.495122665,0.809145743,0.564707193,0.953727151,0.746181744,0.59803677
0.836224593,0.807810565,0.925649548,0.698439993,0.791478347,0.781800159,0.573167027,0.856059464,0.50165224,1,0.727600362,0.833067873
0.806076742,0.799559246,0.974657265,0.578277863,0.769360141,0.778756004,0.530232458,0.606404601,0.463350741,0.773640752,1,0.615162281
0.778237037,0.770713788,0.854402098,0.650193803,0.782288807,0.81989443,0.497620446,0.672506444,0.446497151,0.802175898,1,0.340400498
0.537949271,0.689099027,0.618837223,1,0.322532021,0.355321625,0.238994637,0.45201933,0.476938763,0.856278827,0.818374786,0.326564512
0.452285715,1,0.943046145,0.909681796,0.436510706,0.505304133,0.299586726,0.484880491,0.065238572,0.396001327,0.434221957,0.162424943
0.403137963,0.675921388,0.705094172,0.519238135,0.446613285,0.599866018,0.368393829,0.408241102,0.226905003,0.855971144,1,0.130754169
0.375642182,0.805422556,0.836146366,0.987932789,0.404847926,0.464673116,0.414820198,0.370063995,0.320404889,1,0.988684265,0.07528935
0.412576404,0.937011497,1,0.705640017,0.841058829,0.677365623,0.427465225,0.475771131,0.164901365,0.58899287,0.592894343,0.337543584
0.357630167,0.811372279,1,0.239125054,0.830624697,0.994730951,0.542874617,0.470015089,0.231951613,0.932401512,0.623767371,0.331759993
0.480466783,0.696733537,0.978246249,0.700169901,0.481892816,0.315948072,0.227749191,0.272508403,0.289744757,0.716350287,1,0.328303923
0.290902158,0.828767856,0.928465208,1,0.637240844,0.537386304,0.401767989,0.232360158,0.215027503,0.336103133,0.316298481,0.404234229
