C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0.214212965,0.967826765,1,0.410367715,0.273392678,0.389409822,0.197311548,0.108901965,0.021337892,0.009455992,0.022184027,0.012053565
0.259779012,0.878045896,1,0.752873672,0.713912594,0.71765022,0.546480293,0.304221138,0.196371569,0.098563237,0.052917809,0.012208007
0.279099334,0.597185723,0.806497646,0.901032712,0.960500145,1,0.953538187,0.692260314,0.532159196,0.332676922,0.200257512,0.085032696
0.27677308,0.423504139,0.605017149,0.763725187,0.867186666,0.946478268,1,0.86435837,0.740859073,0.525931036,0.345662789,0.187787944
0.267458126,0.348675434,0.505389525,0.67745812,0.814138802,0.903928889,1,0.980290075,0.908132652,0.690082459,0.465850229,0.262470845
0.23421201,0.296042007,0.440310781,0.596435579,0.743969259,0.834871942,0.933854112,1,0.986584421,0.794005701,0.536042265,0.293431716
0.195482961,0.254261395,0.39585862,0.539422834,0.695734025,0.788004639,0.85089176,0.958459549,1,0.839549095,0.56320684,0.301551725
0.180398955,0.234829776,0.397086773,0.492598187,0.671122044,0.779812385,0.783498113,0.923324121,1,0.877973405,0.560483658,0.284584023
0.178084571,0.243048562,0.387460079,0.479437497,0.645156893,0.742346684,0.64457235,0.870884244,1,0.840490119,0.495454213,0.254222522
0.182161508,0.221276764,0.356016873,0.442141439,0.598542079,0.718344161,0.498710452,0.807704591,1,0.795520689,0.469023088,0.243542805
0.198338172,0.229021108,0.358199531,0.428591739,0.557463463,0.677006569,0.342994464,0.740960086,1,0.782899452,0.453608487,0.243936898
0.281299343,0.29120024,0.384514477,0.4306123,0.510610612,0.60957042,0.215427079,0.763905325,1,0.764780902,0.450006417,0.18957191
0.382953686,0.352073889,0.435181244,0.419926776,0.473928568,0.56388906,0.256946437,0.890607972,1,0.708093151,0.439514582,0.173037164
0.436717493,0.413797287,0.491083646,0.360643893,0.42478163,0.52287523,0.431314904,1,0.984472068,0.607822321,0.429064539,0.150090977
0.356638474,0.422200416,0.574914623,0.216228354,0.300062682,0.508608388,0.5353294,1,0.857169089,0.478488879,0.434126437,0.237414831
0.27190002,0.355065997,0.52970049,0.250415977,0.218466017,0.572805215,0.515134465,1,0.758650133,0.43737804,0.47310664,0.282962311
