C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0.178294989,1,0.869978975,0.295476573,0.074898444,0.089928284,0.059955621,0.003863648,0.023253914,0.011944681,0.011114688,0.005429009
0.721492748,1,0.851184861,0.461607841,0.270094003,0.181642295,0.099698144,0.041185364,0.024173657,0.013481237,0.007446796,0.006961445
1,0.958615806,0.79754241,0.612639894,0.427337031,0.284989082,0.18355046,0.117869984,0.065178783,0.027813495,0.01214442,0.006066115
1,0.841095919,0.728103372,0.627618099,0.488478362,0.351855446,0.247198965,0.173018629,0.10530759,0.057933073,0.028309806,0.016172018
1,0.73973837,0.669733363,0.640492229,0.553692875,0.421188235,0.293993849,0.20663173,0.132965336,0.084967948,0.052735068,0.031744164
1,0.621646252,0.592129147,0.665048221,0.615456188,0.470301954,0.313199325,0.208073448,0.151302615,0.11048107,0.077785692,0.049672248
1,0.49470188,0.507030662,0.69570593,0.662681741,0.484881497,0.305666646,0.189395296,0.164983146,0.132922933,0.090389938,0.062185058
1,0.37072392,0.432397113,0.715628528,0.685136813,0.478194121,0.280230792,0.166888991,0.168200835,0.146847597,0.09293475,0.066019885
1,0.270942049,0.402798984,0.706507185,0.681384215,0.448844627,0.244157346,0.148814236,0.158071291,0.156383257,0.088217133,0.057894673
1,0.203546694,0.386561444,0.671925765,0.662190734,0.401832477,0.198872483,0.133746488,0.142796924,0.185431039,0.086107319,0.045963003
1,0.184292177,0.362649117,0.626060231,0.634654738,0.344495103,0.15379227,0.119077746,0.130817443,0.208921366,0.102119892,0.055121802
1,0.210982917,0.317213286,0.579829017,0.598670289,0.27927752,0.127696852,0.096095907,0.114813475,0.220551551,0.136458285,0.086692849
1,0.258405524,0.250888529,0.529048485,0.55537111,0.230813489,0.122940083,0.06653989,0.093363526,0.230703154,0.190541328,0.116179115
1,0.293992324,0.177219944,0.459689098,0.466846286,0.217558844,0.116929875,0.094483844,0.117602564,0.237963326,0.217653332,0.126602574
1,0.315972881,0.145991023,0.398298349,0.357431317,0.235549043,0.118670556,0.146895262,0.165761473,0.238049651,0.19978671,0.12556728
1,0.324334028,0.167525141,0.350655508,0.245192204,0.258871611,0.184290466,0.204226736,0.19844985,0.225494951,0.162411367,0.116546334
1,0.316722298,0.181957025,0.308506706,0.152264208,0.27064875,0.261792131,0.255126304,0.227930997,0.203128891,0.128841372,0.108515414
1,0.326683942,0.188412876,0.273900261,0.07786604,0.282086418,0.314641576,0.28466943,0.246259125,0.168286631,0.087696755,0.095289832
1,0.387867134,0.188749531,0.253931128,0.067425358,0.28754695,0.336821308,0.296817119,0.234254089,0.119883737,0.0533226,0.062292244
1,0.46554973,0.179477342,0.250078858,0.14505598,0.28594474,0.325469738,0.288391276,0.200775677,0.108789985,0.036164661,0.032080287
1,0.534924432,0.151240058,0.252533624,0.212352227,0.273210311,0.284009192,0.245102648,0.153651953,0.112534035,0.062305077,0.065837661
1,0.585161516,0.09734619,0.234451894,0.210631327,0.208350358,0.217609421,0.166276236,0.101599079,0.162721978,0.148882829,0.076066836
1,0.428952681,0.047074441,0.111904673,0.096517137,0.086529616,0.090674577,0.065369937,0.050400284,0.231345947,0.563689819,0.682658465
0.74146727,0.200653429,0.033353116,0.052316003,0.048254242,0.039533331,0.043457185,0.030300991,0.021655545,0.118051887,0.630214095,1
0.544376474,0.132896816,0.0397187,0.0446641,0.041021007,0.03469746,0.039029212,0.028403019,0.023038575,0.030011854,0.561134349,1
0.491461274,0.106046635,0.050770903,0.047750547,0.044163358,0.036215878,0.042440267,0.037442605,0.026713298,0.041959581,0.616407836,1
0.513668797,0.114842105,0.071119422,0.046509866,0.04675348,0.039575717,0.051194758,0.050758142,0.046929364,0.077396072,0.630646958,1
0.499557509,0.178755548,0.084491064,0.056962475,0.044492308,0.054027905,0.070502043,0.06339579,0.070870261,0.04952989,0.58924209,1
0.623987829,0.195607848,0.063397175,0.051239503,0.036263506,0.059826365,0.07965595,0.060660282,0.073475295,0.074951141,0.560569621,1
0.543281019,0.110071556,0.056686932,0.04920948,0.028001019,0.055211104,0.079562815,0.080921163,0.073089939,0.058561586,0.609659583,1
0.575083498,0.135547016,0.036586814,0.046408628,0.026863259,0.054763572,0.073930375,0.084162665,0.050098039,0.076583519,0.600182402,1
0.617490813,0.145857055,0.039239779,0.046795885,0.036138156,0.062407575,0.08250638,0.078447438,0.091580788,0.111677776,0.50512908,1
0.626199142,0.157010635,0.048387301,0.0408425,0.051664773,0.065882321,0.086259347,0.094154295,0.101544299,0.079189374,0.551357392,1
0.583369761,0.148920763,0.065644592,0.04107845,0.071384478,0.094520507,0.101872491,0.086563853,0.073629857,0.072848897,0.610684312,1
0.645585758,0.219907166,0.067564378,0.046023102,0.080913967,0.114684286,0.102264122,0.08459405,0.065591415,0.06387951,0.603760245,1
0.647565223,0.230990022,0.084395501,0.064532782,0.101780374,0.108202562,0.076612548,0.078159517,0.068408415,0.072508858,0.605486324,1
0.723619563,0.204036344,0.094710275,0.071580084,0.110922136,0.114067935,0.061038811,0.076887151,0.087018223,0.103638938,0.533746158,1
0.680743266,0.169854158,0.098125478,0.09067543,0.115051781,0.105153874,0.06976296,0.075306994,0.063363925,0.088112272,0.582551347,1
0.648630824,0.133564689,0.115546117,0.112845445,0.118752993,0.095360654,0.061977058,0.071177387,0.075070228,0.070297897,0.568499336,1
0.644146709,0.108858799,0.127585494,0.13341028,0.124683816,0.087029663,0.076751888,0.075584232,0.072053608,0.057481443,0.578638942,1
0.691834182,0.134266747,0.10491242,0.141104358,0.118940439,0.067474489,0.061750879,0.069505762,0.059211691,0.069636793,0.586660142,1
0.626410866,0.061039082,0.113779976,0.157266351,0.119944131,0.063832774,0.067751699,0.066384804,0.069154195,0.059290896,0.538818987,1
0.636336242,0.077682272,0.099385695,0.161439009,0.123906635,0.047453094,0.048923392,0.064712373,0.058438592,0.02580535,0.587847467,1
